city,cityLabel,city_population,city_coordinate_location,sister,sisterLabel,sister_population,sister_coordinate_location
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q172,Toronto,2731571,Point(-79.386666666 43.670277777)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q239,Bruxelles,185103,Point(4.351666666 50.846666666)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q270,Varsavia,1790658,Point(21.033333333 52.216666666)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q406,Istanbul,14657434,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q437,Lubiana,286745,Point(14.516666666 46.05)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q580,Łódź,690422,Point(19.454722222 51.776944444)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q585,Oslo,693494,Point(10.752777777 59.911111111)
http://www.wikidata.org/entity/Q226,Nuuk,18326,Point(-51.733333333 64.175),http://www.wikidata.org/entity/Q585,Oslo,693494,Point(10.752777777 59.911111111)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q649,Mosca,12655050,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q656,San Pietroburgo,5384342,Point(30.25 59.91667)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q656,San Pietroburgo,5384342,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q891,Nižnij Novgorod,1264075,Point(44.0075 56.326944444)
http://www.wikidata.org/entity/Q174,San Paolo,12325232,Point(-46.633947222 -23.550394444),http://www.wikidata.org/entity/Q956,Pechino,21710000,Point(116.407526 39.90403)
http://www.wikidata.org/entity/Q216,Vilnius,574147,Point(25.283333333 54.683333333),http://www.wikidata.org/entity/Q994,Tbilisi,1118035,Point(44.7925 41.7225)
http://www.wikidata.org/entity/Q174,San Paolo,12325232,Point(-46.633947222 -23.550394444),http://www.wikidata.org/entity/Q1055,Amburgo,1841179,Point(10.0 53.55)
